source_id,comparison_id,task_scope,family,old_model,new_model,old_generation,new_generation,old_parameter_b,new_parameter_b,n_common,old_accuracy,new_accuracy,accuracy_delta,accuracy_delta_ci95_low,accuracy_delta_ci95_high,old_error_count,new_error_count,persistent_correct_count,persistent_error_count,improvement_count,regression_count,improvement_mass,regression_mass,churn_mass,error_persistence,correction_rate,normalized_regression_burden,error_jaccard,error_redistribution_index,mcnemar_exact_p,claim_use,claim_boundary
wild,math:llama-3.2-1b -> llama-3.2-3b,math,llama,llama-3.2-1b,llama-3.2-3b,llama3.2,llama3.2,1.0,3.0,5000,0.2364,0.456,0.2196,0.0,0.0,3818,2720,978,2516,1302,204,0.2604,0.0408,0.3012,0.658984,0.341016,0.053431,0.625559,0.374441,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,math:Qwen/Qwen2.5-0.5B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,math,qwen,Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,qwen2.5,qwen2.5,0.5,1.5,5000,0.26,0.3962,0.1362,0.0,0.0,3700,3019,955,2674,1026,345,0.2052,0.069,0.2742,0.722703,0.277297,0.093243,0.661063,0.338937,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,math:Qwen/Qwen2.5-0.5B-Instruct -> Qwen/Qwen2.5-3B-Instruct,math,qwen,Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,qwen2.5,qwen2.5,0.5,3.0,5000,0.26,0.5996,0.3396,0.0,0.0,3700,2002,1166,1868,1832,134,0.3664,0.0268,0.3932,0.504865,0.495135,0.036216,0.48722,0.51278,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,math:Qwen/Qwen2.5-1.5B-Instruct -> Qwen/Qwen2.5-3B-Instruct,math,qwen,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,qwen2.5,qwen2.5,1.5,3.0,5000,0.3962,0.5996,0.2034,0.0,0.0,3019,2002,1705,1726,1293,276,0.2586,0.0552,0.3138,0.571712,0.428288,0.091421,0.523824,0.476176,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,mmlu:llama-3.2-1b -> llama-3.2-3b,mmlu,llama,llama-3.2-1b,llama-3.2-3b,llama3.2,llama3.2,1.0,3.0,13957,0.475962,0.582933,0.106971,0.0,0.0,7314,5821,5171,4349,2965,1472,0.212438,0.105467,0.317905,0.594613,0.405387,0.201258,0.494992,0.505008,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,mmlu:Qwen/Qwen2.5-0.5B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,mmlu,qwen,Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,qwen2.5,qwen2.5,0.5,1.5,13957,0.394067,0.545174,0.151107,0.0,0.0,8457,6348,4536,5384,3073,964,0.220176,0.069069,0.289246,0.636632,0.363368,0.113988,0.571489,0.428511,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,mmlu:Qwen/Qwen2.5-0.5B-Instruct -> Qwen/Qwen2.5-3B-Instruct,mmlu,qwen,Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,qwen2.5,qwen2.5,0.5,3.0,13957,0.394067,0.425736,0.031669,0.0,0.0,8457,8015,3279,5794,2663,2221,0.1908,0.159132,0.349932,0.685113,0.314887,0.262623,0.542611,0.457389,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,mmlu:Qwen/Qwen2.5-1.5B-Instruct -> Qwen/Qwen2.5-3B-Instruct,mmlu,qwen,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,qwen2.5,qwen2.5,1.5,3.0,13957,0.545174,0.425736,-0.119438,0.0,0.0,6348,8015,4694,5100,1248,2915,0.089417,0.208856,0.298273,0.803403,0.196597,0.4592,0.550578,0.449422,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,mmlu_pro:llama-3.2-1b -> llama-3.2-3b,mmlu_pro,llama,llama-3.2-1b,llama-3.2-3b,llama3.2,llama3.2,1.0,3.0,11805,0.217789,0.398729,0.18094,0.0,0.0,9234,7098,1604,6131,3103,967,0.262855,0.081914,0.344769,0.663959,0.336041,0.104721,0.60102,0.39898,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,mmlu_pro:Qwen/Qwen2.5-0.5B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,mmlu_pro,qwen,Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,qwen2.5,qwen2.5,0.5,1.5,11806,0.145858,0.295104,0.149246,0.0,0.0,10084,8322,775,7375,2709,947,0.22946,0.080213,0.309673,0.731357,0.268643,0.093911,0.66857,0.33143,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,mmlu_pro:Qwen/Qwen2.5-0.5B-Instruct -> Qwen/Qwen2.5-3B-Instruct,mmlu_pro,qwen,Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,qwen2.5,qwen2.5,0.5,3.0,11806,0.145858,0.428257,0.282399,0.0,0.0,10084,6750,960,5988,4096,762,0.346942,0.064543,0.411486,0.593812,0.406188,0.075565,0.552093,0.447907,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,mmlu_pro:Qwen/Qwen2.5-1.5B-Instruct -> Qwen/Qwen2.5-3B-Instruct,mmlu_pro,qwen,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,qwen2.5,qwen2.5,1.5,3.0,11806,0.295104,0.428257,0.133153,0.0,0.0,8322,6750,2354,5620,2702,1130,0.228867,0.095714,0.324581,0.675318,0.324682,0.135785,0.594583,0.405417,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,piqa:llama-3.2-1b -> llama-3.2-3b,piqa,llama,llama-3.2-1b,llama-3.2-3b,llama3.2,llama3.2,1.0,3.0,1803,0.591237,0.755408,0.164171,0.0,0.0,737,441,867,242,495,199,0.274542,0.110372,0.384914,0.328358,0.671642,0.270015,0.258547,0.741453,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,piqa:Qwen/Qwen2.5-0.5B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,piqa,qwen,Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,qwen2.5,qwen2.5,0.5,1.5,1803,0.471991,0.717693,0.245702,0.0,0.0,952,509,602,260,692,249,0.383805,0.138103,0.521908,0.273109,0.726891,0.261554,0.216486,0.783514,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,piqa:Qwen/Qwen2.5-0.5B-Instruct -> Qwen/Qwen2.5-3B-Instruct,piqa,qwen,Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,qwen2.5,qwen2.5,0.5,3.0,1803,0.471991,0.714365,0.242374,0.0,0.0,952,515,665,329,623,186,0.345535,0.103161,0.448697,0.345588,0.654412,0.195377,0.289104,0.710896,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,piqa:Qwen/Qwen2.5-1.5B-Instruct -> Qwen/Qwen2.5-3B-Instruct,piqa,qwen,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,qwen2.5,qwen2.5,1.5,3.0,1803,0.717693,0.714365,-0.003328,0.0,0.0,509,515,1005,226,283,289,0.156961,0.160288,0.317249,0.444008,0.555992,0.567779,0.283208,0.716792,0.8344238,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
